open_time,open,high,low,close,tick_volume
2026-09-13T22:00:00+00:00,2400.0,2400.22,2399.5,2399.89,176
2026-09-13T22:05:00+00:00,2399.89,2400.09,2399.02,2399.24,394
2026-09-13T22:10:00+00:00,2399.24,2399.5,2399.18,2399.34,366
2026-09-13T22:15:00+00:00,2399.34,2399.59,2398.92,2399.07,240
2026-09-13T22:20:00+00:00,2399.07,2400.48,2398.67,2400.01,296
2026-09-13T22:25:00+00:00,2400.01,2400.32,2399.07,2399.89,428
2026-09-13T22:30:00+00:00,2399.89,2401.49,2399.31,2400.65,254
2026-09-13T22:35:00+00:00,2400.65,2401.8,2400.43,2401.4,420
2026-09-13T22:40:00+00:00,2401.4,2402.13,2401.16,2401.96,479
2026-09-13T22:45:00+00:00,2401.96,2402.27,2400.66,2401.1,501
2026-09-13T22:50:00+00:00,2401.1,2401.74,2400.96,2401.48,380
2026-09-13T22:55:00+00:00,2401.48,2402.18,2401.0,2401.89,175
2026-09-13T23:00:00+00:00,2401.89,2402.24,2401.63,2401.71,201
2026-09-13T23:05:00+00:00,2401.71,2402.14,2401.35,2401.64,321
2026-09-13T23:10:00+00:00,2401.64,2401.7,2401.4,2401.47,343
2026-09-13T23:15:00+00:00,2401.47,2401.58,2401.0,2401.28,262
2026-09-13T23:20:00+00:00,2401.28,2402.49,2401.11,2401.87,386
2026-09-13T23:25:00+00:00,2401.87,2402.15,2400.84,2401.29,436
2026-09-13T23:30:00+00:00,2401.29,2401.58,2400.94,2401.21,367
2026-09-13T23:35:00+00:00,2401.21,2401.84,2400.82,2401.57,391
2026-09-13T23:40:00+00:00,2401.57,2402.98,2400.85,2402.73,322
2026-09-13T23:45:00+00:00,2402.73,2403.23,2402.66,2402.88,316
2026-09-13T23:50:00+00:00,2402.88,2403.07,2402.19,2402.76,374
2026-09-13T23:55:00+00:00,2402.76,2404.08,2402.46,2403.61,378
2026-09-14T00:00:00+00:00,2403.61,2404.18,2403.36,2403.82,333
2026-09-14T00:05:00+00:00,2403.82,2404.22,2403.8,2403.84,141
2026-09-14T00:10:00+00:00,2403.84,2404.42,2403.49,2404.33,288
