open_time,open,high,low,close,tick_volume
2026-09-13T22:00:00+00:00,30.0,30.004,29.98,29.999,229
2026-09-13T22:05:00+00:00,29.999,30.001,29.981,29.987,348
2026-09-13T22:10:00+00:00,29.987,30.008,29.977,30.003,429
2026-09-13T22:15:00+00:00,30.003,30.011,29.99,29.995,274
2026-09-13T22:20:00+00:00,29.995,30.001,29.982,29.985,391
2026-09-13T22:25:00+00:00,29.985,30.027,29.969,30.005,200
2026-09-13T22:30:00+00:00,30.005,30.016,29.967,29.977,513
2026-09-13T22:35:00+00:00,29.977,29.993,29.964,29.967,374
2026-09-13T22:40:00+00:00,29.967,29.97,29.947,29.958,382
2026-09-13T22:45:00+00:00,29.958,29.961,29.952,29.96,395
2026-09-13T22:50:00+00:00,29.96,29.97,29.951,29.964,315
2026-09-13T22:55:00+00:00,29.964,29.978,29.956,29.973,244
2026-09-13T23:00:00+00:00,29.973,29.995,29.969,29.988,125
2026-09-13T23:05:00+00:00,29.988,29.993,29.984,29.986,312
2026-09-13T23:10:00+00:00,29.986,30.003,29.981,29.995,327
2026-09-13T23:15:00+00:00,29.995,30.001,29.987,29.993,305
2026-09-13T23:20:00+00:00,29.993,29.994,29.983,29.992,404
2026-09-13T23:25:00+00:00,29.992,30.002,29.988,29.997,213
2026-09-13T23:30:00+00:00,29.997,30.022,29.991,30.016,303
2026-09-13T23:35:00+00:00,30.016,30.021,29.994,30.0,220
2026-09-13T23:40:00+00:00,30.0,30.013,29.995,30.01,318
2026-09-13T23:45:00+00:00,30.01,30.013,29.998,30.011,251
2026-09-13T23:50:00+00:00,30.011,30.018,30.001,30.005,417
2026-09-13T23:55:00+00:00,30.005,30.014,30.0,30.009,177
2026-09-14T00:00:00+00:00,30.009,30.032,29.997,30.018,284
2026-09-14T00:05:00+00:00,30.018,30.021,30.005,30.011,469
2026-09-14T00:10:00+00:00,30.011,30.019,30.009,30.013,594
2026-09-14T00:15:00+00:00,30.013,30.022,30.007,30.02,186
2026-09-14T00:20:00+00:00,30.02,30.048,30.014,30.042,326
2026-09-14T00:25:00+00:00,30.042,30.055,30.038,30.048,412
2026-09-14T00:30:00+00:00,30.048,30.05,30.039,30.042,82
2026-09-14T00:35:00+00:00,30.042,30.052,30.038,30.046,588
2026-09-14T00:40:00+00:00,30.046,30.055,30.025,30.028,344
2026-09-14T00:45:00+00:00,30.028,30.034,30.022,30.024,163
2026-09-14T00:50:00+00:00,30.024,30.033,30.019,30.029,252
2026-09-14T00:55:00+00:00,30.029,30.036,30.011,30.02,163
2026-09-14T01:00:00+00:00,30.02,30.028,30.016,30.021,382
2026-09-14T01:05:00+00:00,30.021,30.027,29.992,29.999,178
2026-09-14T01:10:00+00:00,29.999,30.003,29.989,29.994,248
2026-09-14T01:15:00+00:00,29.994,29.999,29.989,29.994,390
2026-09-14T01:20:00+00:00,29.994,30.004,29.99,29.995,271
2026-09-14T01:25:00+00:00,29.995,30.002,29.988,29.99,232
2026-09-14T01:30:00+00:00,29.99,29.996,29.975,29.979,293
2026-09-14T01:35:00+00:00,29.979,29.981,29.973,29.975,257
2026-09-14T01:40:00+00:00,29.975,30.0,29.969,29.993,341
2026-09-14T01:45:00+00:00,29.993,29.996,29.978,29.988,118
2026-09-14T01:50:00+00:00,29.988,30.006,29.984,29.999,270
2026-09-14T01:55:00+00:00,29.999,30.018,29.989,30.012,586
2026-09-14T02:00:00+00:00,30.012,30.02,29.991,29.996,301
2026-09-14T02:05:00+00:00,29.996,29.998,29.981,29.984,412
2026-09-14T02:10:00+00:00,29.984,29.989,29.974,29.98,389
2026-09-14T02:15:00+00:00,29.98,29.994,29.972,29.991,268
2026-09-14T02:20:00+00:00,29.991,29.995,29.988,29.993,319
2026-09-14T02:25:00+00:00,29.993,30.001,29.991,29.993,281
2026-09-14T02:30:00+00:00,29.993,29.996,29.984,29.992,342
2026-09-14T02:35:00+00:00,29.992,29.994,29.986,29.987,291
2026-09-14T02:40:00+00:00,29.987,29.995,29.984,29.993,361
2026-09-14T02:45:00+00:00,29.993,30.009,29.987,30.004,228
2026-09-14T02:50:00+00:00,30.004,30.008,29.993,29.998,271
2026-09-14T02:55:00+00:00,29.998,30.002,29.973,29.98,403
2026-09-14T03:00:00+00:00,29.98,29.982,29.97,29.976,270
2026-09-14T03:05:00+00:00,29.976,29.977,29.961,29.97,340
2026-09-14T03:10:00+00:00,29.97,29.993,29.964,29.982,458
2026-09-14T03:15:00+00:00,29.982,29.989,29.979,29.98,293
2026-09-14T03:20:00+00:00,29.98,29.983,29.959,29.97,356
2026-09-14T03:25:00+00:00,29.97,29.975,29.948,29.958,280
2026-09-14T03:30:00+00:00,29.958,29.962,29.947,29.949,118
2026-09-14T03:35:00+00:00,29.949,29.954,29.943,29.946,246
2026-09-14T03:40:00+00:00,29.946,29.963,29.943,29.954,188
2026-09-14T03:45:00+00:00,29.954,29.967,29.945,29.952,307
2026-09-14T03:50:00+00:00,29.952,29.983,29.941,29.971,322
2026-09-14T03:55:00+00:00,29.971,29.979,29.945,29.951,159
2026-09-14T04:00:00+00:00,29.951,29.971,29.948,29.965,136
2026-09-14T04:05:00+00:00,29.965,29.969,29.957,29.958,336
2026-09-14T04:10:00+00:00,29.958,29.965,29.955,29.958,284
2026-09-14T04:15:00+00:00,29.958,29.96,29.951,29.956,167
2026-09-14T04:20:00+00:00,29.956,29.967,29.953,29.962,203
2026-09-14T04:25:00+00:00,29.962,29.972,29.962,29.963,230
2026-09-14T04:30:00+00:00,29.963,29.969,29.94,29.944,218
2026-09-14T04:35:00+00:00,29.944,29.948,29.931,29.935,267
2026-09-14T04:40:00+00:00,29.935,29.936,29.927,29.931,270
2026-09-14T04:45:00+00:00,29.931,29.942,29.93,29.934,230
2026-09-14T04:50:00+00:00,29.934,29.943,29.934,29.936,338
2026-09-14T04:55:00+00:00,29.936,29.941,29.921,29.927,236
2026-09-14T05:00:00+00:00,29.927,29.929,29.92,29.924,235
2026-09-14T05:05:00+00:00,29.924,29.939,29.917,29.935,238
2026-09-14T05:10:00+00:00,29.935,29.945,29.918,29.921,298
2026-09-14T05:15:00+00:00,29.921,29.934,29.913,29.928,265
2026-09-14T05:20:00+00:00,29.928,29.929,29.92,29.924,299
2026-09-14T05:25:00+00:00,29.924,29.932,29.92,29.924,327
2026-09-14T05:30:00+00:00,29.924,29.934,29.916,29.931,429
2026-09-14T05:35:00+00:00,29.931,29.938,29.925,29.933,418
2026-09-14T05:40:00+00:00,29.933,29.952,29.924,29.948,178
2026-09-14T05:45:00+00:00,29.948,29.964,29.936,29.954,342
2026-09-14T05:50:00+00:00,29.954,29.965,29.95,29.96,232
2026-09-14T05:55:00+00:00,29.96,29.962,29.953,29.956,333
2026-09-14T06:00:00+00:00,29.956,29.959,29.955,29.957,339
2026-09-14T06:05:00+00:00,29.957,29.961,29.95,29.953,85
2026-09-14T06:10:00+00:00,29.953,29.967,29.95,29.964,144
2026-09-14T06:15:00+00:00,29.964,29.968,29.963,29.964,318
2026-09-14T06:20:00+00:00,29.964,29.966,29.948,29.953,227
2026-09-14T06:25:00+00:00,29.953,29.964,29.946,29.956,179
2026-09-14T06:30:00+00:00,29.956,29.975,29.952,29.966,318
2026-09-14T06:35:00+00:00,29.966,29.976,29.96,29.971,98
2026-09-14T06:40:00+00:00,29.971,29.973,29.969,29.971,307
2026-09-14T06:45:00+00:00,29.971,29.981,29.964,29.971,131
2026-09-14T06:50:00+00:00,29.971,29.973,29.963,29.972,73
2026-09-14T06:55:00+00:00,29.972,29.978,29.969,29.973,230
2026-09-14T07:00:00+00:00,29.973,29.978,29.968,29.976,551
2026-09-14T07:05:00+00:00,29.976,30.002,29.968,29.993,285
2026-09-14T07:10:00+00:00,29.993,29.997,29.967,29.977,112
2026-09-14T07:15:00+00:00,29.977,29.988,29.969,29.971,448
2026-09-14T07:20:00+00:00,29.971,29.995,29.954,29.986,340
2026-09-14T07:25:00+00:00,29.986,29.994,29.969,29.977,346
2026-09-14T07:30:00+00:00,29.977,29.997,29.966,29.983,321
2026-09-14T07:35:00+00:00,29.983,30.029,29.977,30.014,601
2026-09-14T07:40:00+00:00,30.014,30.033,30.012,30.021,363
2026-09-14T07:45:00+00:00,30.021,30.044,29.99,30.008,885
2026-09-14T07:50:00+00:00,30.008,30.015,29.967,29.989,816
2026-09-14T07:55:00+00:00,29.989,30.054,29.957,30.033,403
2026-09-14T08:00:00+00:00,30.033,30.037,30.032,30.034,323
2026-09-14T08:05:00+00:00,30.034,30.064,29.988,29.997,676
2026-09-14T08:10:00+00:00,29.997,30.001,29.968,29.98,69
2026-09-14T08:15:00+00:00,29.98,29.988,29.955,29.969,521
2026-09-14T08:20:00+00:00,29.969,29.991,29.95,29.977,918
2026-09-14T08:25:00+00:00,29.977,29.993,29.968,29.984,415
2026-09-14T08:30:00+00:00,29.984,30.03,29.969,30.015,799
2026-09-14T08:35:00+00:00,30.015,30.057,30.005,30.045,714
2026-09-14T08:40:00+00:00,30.045,30.046,30.028,30.044,641
2026-09-14T08:45:00+00:00,30.044,30.053,30.016,30.024,708
2026-09-14T08:50:00+00:00,30.024,30.035,30.022,30.027,242
2026-09-14T08:55:00+00:00,30.027,30.096,30.004,30.063,1024
2026-09-14T09:00:00+00:00,30.063,30.086,30.054,30.081,671
2026-09-14T09:05:00+00:00,30.081,30.09,30.057,30.07,608
2026-09-14T09:10:00+00:00,30.07,30.086,30.042,30.047,748
2026-09-14T09:15:00+00:00,30.047,30.074,30.038,30.068,749
2026-09-14T09:20:00+00:00,30.068,30.078,30.003,30.024,440
2026-09-14T09:25:00+00:00,30.024,30.064,30.011,30.052,842
2026-09-14T09:30:00+00:00,30.052,30.055,30.044,30.047,354
2026-09-14T09:35:00+00:00,30.047,30.06,30.042,30.057,615
2026-09-14T09:40:00+00:00,30.057,30.077,30.05,30.065,329
2026-09-14T09:45:00+00:00,30.065,30.081,30.06,30.075,430
2026-09-14T09:50:00+00:00,30.075,30.106,30.069,30.089,573
2026-09-14T09:55:00+00:00,30.089,30.11,30.073,30.093,650
2026-09-14T10:00:00+00:00,30.093,30.128,30.082,30.119,244
2026-09-14T10:05:00+00:00,30.119,30.162,30.106,30.141,671
2026-09-14T10:10:00+00:00,30.141,30.161,30.131,30.149,500
2026-09-14T10:15:00+00:00,30.149,30.158,30.13,30.142,555
2026-09-14T10:20:00+00:00,30.142,30.151,30.102,30.121,499
2026-09-14T10:25:00+00:00,30.121,30.138,30.112,30.124,315
2026-09-14T10:30:00+00:00,30.124,30.144,30.112,30.115,524
2026-09-14T10:35:00+00:00,30.115,30.124,30.066,30.09,499
2026-09-14T10:40:00+00:00,30.09,30.097,30.067,30.075,535
2026-09-14T10:45:00+00:00,30.075,30.084,30.069,30.075,316
2026-09-14T10:50:00+00:00,30.075,30.076,30.06,30.072,563
2026-09-14T10:55:00+00:00,30.072,30.082,30.052,30.057,437
2026-09-14T11:00:00+00:00,30.057,30.066,30.037,30.06,339
2026-09-14T11:05:00+00:00,30.06,30.063,30.055,30.06,556
2026-09-14T11:10:00+00:00,30.06,30.116,30.045,30.099,814
2026-09-14T11:15:00+00:00,30.099,30.104,30.085,30.091,268
2026-09-14T11:20:00+00:00,30.091,30.103,30.082,30.088,616
2026-09-14T11:25:00+00:00,30.088,30.11,30.046,30.059,353
2026-09-14T11:30:00+00:00,30.059,30.065,30.04,30.043,466
2026-09-14T11:35:00+00:00,30.043,30.057,30.03,30.045,371
2026-09-14T11:40:00+00:00,30.045,30.059,30.037,30.051,141
2026-09-14T11:45:00+00:00,30.051,30.091,30.042,30.075,490
2026-09-14T11:50:00+00:00,30.075,30.112,30.067,30.105,260
2026-09-14T11:55:00+00:00,30.105,30.12,30.098,30.112,471
2026-09-14T12:00:00+00:00,30.112,30.123,30.092,30.102,555
2026-09-14T12:05:00+00:00,30.102,30.113,30.069,30.083,729
2026-09-14T12:10:00+00:00,30.083,30.111,30.071,30.102,496
2026-09-14T12:15:00+00:00,30.102,30.146,30.076,30.134,920
2026-09-14T12:20:00+00:00,30.134,30.146,30.11,30.134,590
2026-09-14T12:25:00+00:00,30.134,30.168,30.128,30.152,767
2026-09-14T12:30:00+00:00,30.152,30.155,30.13,30.139,226
2026-09-14T12:35:00+00:00,30.139,30.165,30.134,30.158,744
2026-09-14T12:40:00+00:00,30.158,30.199,30.153,30.183,676
2026-09-14T12:45:00+00:00,30.183,30.228,30.161,30.211,668
2026-09-14T12:50:00+00:00,30.211,30.259,30.201,30.242,474
2026-09-14T12:55:00+00:00,30.242,30.261,30.23,30.24,490
2026-09-14T13:00:00+00:00,30.24,30.243,30.235,30.242,936
2026-09-14T13:05:00+00:00,30.242,30.267,30.23,30.253,547
2026-09-14T13:10:00+00:00,30.253,30.264,30.228,30.246,819
2026-09-14T13:15:00+00:00,30.246,30.254,30.229,30.248,329
2026-09-14T13:20:00+00:00,30.248,30.276,30.215,30.222,606
2026-09-14T13:25:00+00:00,30.222,30.226,30.208,30.223,888
2026-09-14T13:30:00+00:00,30.223,30.239,30.21,30.217,702
2026-09-14T13:35:00+00:00,30.217,30.222,30.176,30.195,757
2026-09-14T13:40:00+00:00,30.195,30.231,30.189,30.207,698
2026-09-14T13:45:00+00:00,30.207,30.272,30.197,30.258,665
2026-09-14T13:50:00+00:00,30.258,30.277,30.217,30.234,780
2026-09-14T13:55:00+00:00,30.234,30.248,30.217,30.223,848
2026-09-14T14:00:00+00:00,30.223,30.247,30.214,30.237,538
2026-09-14T14:05:00+00:00,30.237,30.267,30.231,30.25,806
2026-09-14T14:10:00+00:00,30.25,30.266,30.226,30.257,1073
2026-09-14T14:15:00+00:00,30.257,30.278,30.207,30.214,349
2026-09-14T14:20:00+00:00,30.214,30.261,30.208,30.241,1081
2026-09-14T14:25:00+00:00,30.241,30.268,30.224,30.26,640
2026-09-14T14:30:00+00:00,30.26,30.285,30.238,30.272,804
2026-09-14T14:35:00+00:00,30.272,30.28,30.254,30.257,801
2026-09-14T14:40:00+00:00,30.257,30.279,30.254,30.269,863
2026-09-14T14:45:00+00:00,30.269,30.274,30.263,30.268,532
2026-09-14T14:50:00+00:00,30.268,30.279,30.248,30.273,843
2026-09-14T14:55:00+00:00,30.273,30.283,30.222,30.241,225
2026-09-14T15:00:00+00:00,30.241,30.242,30.228,30.24,295
2026-09-14T15:05:00+00:00,30.24,30.261,30.233,30.257,726
2026-09-14T15:10:00+00:00,30.257,30.263,30.198,30.219,540
2026-09-14T15:15:00+00:00,30.219,30.222,30.186,30.204,693
2026-09-14T15:20:00+00:00,30.204,30.228,30.187,30.216,314
2026-09-14T15:25:00+00:00,30.216,30.226,30.203,30.223,555
2026-09-14T15:30:00+00:00,30.223,30.226,30.201,30.215,249
2026-09-14T15:35:00+00:00,30.215,30.233,30.213,30.216,294
2026-09-14T15:40:00+00:00,30.216,30.225,30.195,30.202,275
2026-09-14T15:45:00+00:00,30.202,30.207,30.192,30.205,799
2026-09-14T15:50:00+00:00,30.205,30.232,30.201,30.216,776
2026-09-14T15:55:00+00:00,30.216,30.224,30.199,30.205,335
